Starting Location,Ending Location,Distance
Omaha,Lincoln,50.44616406747337
Omaha,Grand Island,127.73102900738604
Omaha,Kearney,169.0087735992516
Omaha,Columbus,75.06805924533482
Omaha,Bellevue,7.298565633065424
Omaha,Papillion,9.028845914940465
Omaha,Plattsmouth,17.164591248045646
Omaha,Des Moines,122.10833133512102
Omaha,Iowa City,230.07322330560763
Omaha,Cedar Rapids,226.58942912509715
Omaha,Davenport,278.9613203531557
Omaha,Sioux City,88.93951658117982
Omaha,Waterloo,802.3891354717196
Omaha,Ankeny,125.48264303944242
Omaha,Ames,130.6232899830246
Omaha,Council Bluffs,3.855891049460098
Omaha,Dubuque,284.951200490315
Omaha,Urbandale,115.77298044040255
Omaha,Sioux Falls,163.19714922269918
Omaha,Pierre,310.6157562162207
Omaha,Rapid City,419.46870853601524
Omaha,Deadwood,450.61693528313936
Omaha,Aberdeen,317.63320171127293
Omaha,Brookings,215.3935901410548
Omaha,Watertown,258.4627299718373
Omaha,Yankton,134.44917684492387
Omaha,Wichita,257.2842077807589
Omaha,Overland Park,170.59054389397153
Omaha,Olathe,174.20447057332967
Omaha,Topeka,153.04170688512022
Omaha,Lawrence,161.9310188604185
Omaha,Shawnee,167.08813135644317
Omaha,Lenexa,171.14836850852518
Omaha,Manhattan,146.93833646754132
Omaha,Salina,188.92416398021595
Omaha,Dodge City,325.54034346938226
Omaha,Kansas City,165.20222253049107
Omaha,St Louis,354.3905450010837
Omaha,Springfield,313.096065181759
Omaha,Columbia,248.30023968212194
Omaha,Independence,169.65334095758948
Omaha,St Joseph,117.62991706317443
Omaha,St Peters,328.8313817511792
Omaha,Blue Springs,177.57564370859433
Omaha,Joplin,297.7540172717773
Omaha,Jefferson City,272.1710517618331
Omaha,Wildwood,335.24047492599084
Omaha,Ozark,326.84539173904005
Lincoln,Omaha,50.44616406747337
Lincoln,Grand Island,86.22540256216783
Lincoln,Kearney,125.07912020470218
Lincoln,Columbus,54.6416604883264
Lincoln,Bellevue,47.205132226877836
Lincoln,Papillion,41.74966972890802
Lincoln,Plattsmouth,45.12677147130959
Lincoln,Des Moines,169.03631093649122
Lincoln,Iowa City,275.39858455885917
Lincoln,Cedar Rapids,273.75398904095783
Lincoln,Davenport,323.0569361270611
Lincoln,Sioux City,117.14667466806046
Lincoln,Waterloo,849.6862324489707
Lincoln,Ankeny,173.4962946699534
Lincoln,Ames,180.25522672237818
Lincoln,Council Bluffs,53.77269840325997
Lincoln,Dubuque,333.3677222729838
Lincoln,Urbandale,163.28444789779974
Lincoln,Sioux Falls,188.5957885909081
Lincoln,Pierre,307.87259552561255
Lincoln,Rapid City,402.56532353777095
Lincoln,Deadwood,434.3897169293347
Lincoln,Aberdeen,333.47211418636766
Lincoln,Brookings,241.48350672285798
Lincoln,Watertown,282.8108239815974
Lincoln,Yankton,146.45449838420075
Lincoln,Wichita,218.28262124636387
Lincoln,Overland Park,166.18983119599662
Lincoln,Olathe,166.7328093862686
Lincoln,Topeka,133.51985995471486
Lincoln,Lawrence,149.08895333982161
Lincoln,Shawnee,162.50831431947688
Lincoln,Lenexa,165.57993099371728
Lincoln,Manhattan,112.67400338708262
Lincoln,Salina,144.46734174710065
Lincoln,Dodge City,275.9243979183067
Lincoln,Kansas City,163.39141239192764
Lincoln,St Louis,377.75967139900405
Lincoln,Springfield,308.99374108193257
Lincoln,Columbia,265.31115001560477
Lincoln,Independence,169.90207949927455
Lincoln,St Joseph,121.75299920335384
Lincoln,St Peters,351.99234940258833
Lincoln,Blue Springs,178.6114431311706
Lincoln,Joplin,282.97344056412464
Lincoln,Jefferson City,286.4394362479537
Lincoln,Wildwood,356.67067107617464
Lincoln,Ozark,322.3516210693974
Grand Island,Omaha,127.73102900738604
Grand Island,Lincoln,86.22540256216783
Grand Island,Kearney,41.826427730281
Grand Island,Columbus,61.91669071759271
Grand Island,Bellevue,127.61035419051414
Grand Island,Papillion,121.13955672296632
Grand Island,Plattsmouth,128.85859875060189
Grand Island,Des Moines,249.79973540877324
Grand Island,Iowa City,357.788731860421
Grand Island,Cedar Rapids,354.0543909198154
Grand Island,Davenport,406.486869216905
Grand Island,Sioux City,147.54967242128276
Grand Island,Waterloo,929.3886832566687
Grand Island,Ankeny,252.81328182965
Grand Island,Ames,256.01550325585123
Grand Island,Council Bluffs,131.57820965576752
Grand Island,Dubuque,411.3701759683671
Grand Island,Urbandale,243.34994299102763
Grand Island,Sioux Falls,198.77511815323265
Grand Island,Pierre,258.6351904474354
Grand Island,Rapid City,331.1687941285019
Grand Island,Deadwood,363.27712587832445
